title,time_modified,category,uuid,description,picture_url,url,price,shipping,time_published,hotness,editors_choice
Accent Furniture at Macy's,,HOME FURNITURE,2168738,"Macy's cuts <strong>up to 70% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089751,2168738"">accent furniture</a> with prices starting at $66.20. Shipping starts around <strong>$10.95</strong> and surcharges may apply. Discounted items include chairs, side tables, chaise lounges, and loveseats. A couple best bets:
<ul>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089748,2168738"">Ander Accent Chair</a> for <strong>$89</strong> + <strong>$11</strong> s&amp;h ($50 off)
 </li>
 <li>
 <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168738"">Coryn Fabric Accent Chair</a> for <strong>$159</strong> + <strong>$26</strong> s&amp;h (pictured, $166 off)
 </li>
</ul>","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/rrb7htbhqbbvdq5ojz6z",https://www.dealnews.com/Accent-Furniture-at-Macys-Up-to-70-off/2168738.html,Up to 70% off,,2017-12-29T23:42:24-05:00,0,
OXO Good Grips Spring-Loaded Poultry Shears,,KITCHEN,2168735,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168735"">OXO Good Grips Spring-Loaded Poultry Shears</a> for <strong>$19.99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $5. They feature stainless-steel blades that separate for cleaning.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ajjg9eu4j10em0rpprme",https://www.dealnews.com/OXO-Good-Grips-Spring-Loaded-Poultry-Shears-for-20-free-shipping-w-Prime/2168735.html,$20,free shipping w/ Prime,2017-12-29T23:17:27-05:00,3,
L.L.Bean Kids' Lunch Box,,BABIES & KIDS ITEMS,2168732,"L.L.Bean offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168732"">L.L.Bean Kids' Lunch Box</a> in six colors ( Nordic Blue Peace Daisy pictured) for $10.99. Coupon code ""EXTRA25"" cuts that to <strong>$8.24</strong>. With <strong>free shipping</strong>, that's $12 off list and the lowest price we've seen for an L.L. Bean lunch box. It features insulation, zippered closures, and a mesh pocket. Deal ends January 1.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/c7hwjcqxcnlootnm18q1",https://www.dealnews.com/L.L.Bean-Kids-Lunch-Box-for-8-free-shipping/2168732.html,$8,free shipping,2017-12-29T23:06:12-05:00,3,True
Pokémon Clip 'N' Carry Poké Ball Belt,,TOYS & HOBBIES,2168720,"Amazon offers Prime members the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168720"">Pokémon Clip 'N' Carry Poké Ball Belt</a> for <strong>$8.69</strong> with <strong>free shipping</strong>. That's about 50 cents under our mention from ten days ago and the lowest price we could find now by $16. It includes one adjustable belt, one Pikachu figure, one Poké ball, and one net ball.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pxpboivmmbzjwvxll8jg",https://www.dealnews.com/Pok-mon-Clip-N-Carry-Pok-Ball-Belt-for-9-free-shipping-w-Prime/2168720.html,$9,free shipping w/ Prime,2017-12-29T22:09:43-05:00,3,
"T-Fal Airbake 16x14"" Cookie Sheet",,KITCHEN,2168687,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168687"">T-Fal Airbake 16x14"" Cookie Sheet</a> for <strong>$9.87</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089742,2168687"">Amazon</a> charges the same.) Opt for in-store <strong>pickup</strong> to avoid the $5.99 shipping charge. That's the lowest price we could find by $10. It purportedly decreases bake times by up to 15 percent.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/kxit36sekubqhth0wsf4",https://www.dealnews.com/T-Fal-Airbake-16-x14-Cookie-Sheet-for-10-pickup-at-Walmart/2168687.html,$10,pickup at Walmart,2017-12-29T21:58:05-05:00,3,True
Papa John's coupon,,RESTAURANTS,2168684,"<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168684"">Papa John's</a> cuts <strong>50% off</strong> <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089736,2168684"">regular-price orders</a>, including wings, via coupon code ""2018DEAL"". That's tied with our Black Friday mention as the best percent-off discount we've seen from Papa John's. (Normally the discount is restricted to just pizzas.) Availability varies by location; some exclusions apply.<p>See all <a data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/s1687/Papa-Johns/"">Papa John's Coupons</a>.</p>","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/o1nl6bnwexgnilaxjllr",https://www.dealnews.com/Papa-Johns-coupon-50-off-full-price-orders/2168684.html,50% off full-price orders,,2017-12-29T21:04:55-05:00,3,
Tools of the Trade 1.5qt Stainless Tea Kettle,,KITCHEN,2168639,"As one of its daily deals, Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168639"">Tools of the Trade 1.5-Quart Stainless Steel Tea Kettle</a> for <strong>$4.99</strong>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089706,2168639"">beauty item</a> (they start at $3) to bag <b>free shipping</b>; otherwise, shipping adds $10.95. That's $20 off list and the lowest price we've seen. It whistles when water is boiling and features an easy-grip handle. Deal ends December 30.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/zhthkguz64pyvnfvl3ob",https://www.dealnews.com/Tools-of-the-Trade-1.5-qt-Stainless-Tea-Kettle-for-5-pickup-at-Macys/2168639.html,$5,pickup at Macy's,2017-12-29T21:04:06-05:00,4,
Upcoming: Block Calendar Kids' Workshop,,THINGS TO DO,2168660,"On January 5 from 9 am to 12 pm local time, participating Home Depot retail stores will offer a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168660"">Block Calendar Kids' Workshop</a> for <strong>free</strong>. (Select a store to register.) Kids will get to build a block calendar and also receive an apron and pin.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hbciodz9xzktz6vgxjtp",https://www.dealnews.com/Upcoming-Block-Calendar-Kids-Workshop-for-free-at-Home-Depot-stores/2168660.html,free,at Home Depot stores,2017-12-29T20:59:04-05:00,4,
Nike Women's Celso Ultra Thong Flip Flops,,SHOES,2168525,"Nike offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168525"">Nike Women's Celso Ultra Thong Flip Flops</a> in Platinum/White for $14.97. In cart, that drops to <strong>$11.23</strong>. Plus, Nike+ members receive <b>free shipping</b>. (Not a member? It's free to <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17089535,2168525"">join</a>.) That's the lowest price we could find by $10, although we saw them for a buck less the week of Black Friday. They're available in sizes 6 to 12.","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qidrrx8w39jcan8dxat3",https://www.dealnews.com/Nike-Womens-Celso-Ultra-Thong-Flip-Flops-for-11-free-shipping/2168525.html,$11,free shipping,2017-12-29T20:58:15-05:00,3,
Bank of America® Travel Rewards Credit Card,,CREDIT CARDS,2168498,"At Bank of America, apply for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2168498"">Bank of America® Travel Rewards credit card</a> and receive <strong>20,000 bonus points</strong> if you make at least $1,000 in purchases in the first 90 days of account opening – that can be redeemed for a <strong>$200 Statement Credit towards travel purchases</strong>. Plus, earn <strong>1.5 points</strong> per $1 spent on all purchases, with <strong>no annual fee</strong> and <strong>no foreign transaction fees</strong>. Redeem points for a statement credit to pay for flights, hotels, vacation packages, cruises, rental cars, or baggage fees with no blackout dates. There's no limit to the total number of points you can earn and points don't expire.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1631/Bank-of-America/"">Bank of America credit card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>
                    <script type=""text/javascript"">
                (function() {

                    var func = function () {

                                                /* Once is enough */
                        if (DN.isset(DN.get(""article_disclaimer-dialog""))) {
                            return;
                        }
                        
                                                    var parent = document.body;
                                                var div = document.createElement('div');
                        div.innerHTML = ""        <div class=\""dn-dialog form-box dn-panel info-dialog\"" id=\""article_disclaimer-dialog\"" >\n                            <div class=\""close icon box-close-white\""><\/div>\n            \n                            <div class=\""dialog-pointer\""><\/div>\n            \n                            <div class=\""hd\"">Disclaimer<\/div>\n            \n            <div class=\""bd\"">\n                        <div id=\""article-disclaimer\""><\/div>\n                    <\/div>\n\n                    <\/div>\n\n        "";
                        while (div.children.length > 0) {
                            parent.appendChild(div.children[0]);
                        }

                        
                            DN.forms.init();

                        
                                            };

                    if (DN.DOMReady) {
                        func();
                    } else {
                        DN.onDOMReady.bind(func);
                    }

                })();
            </script>","https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/bv3urdvfxvmwirwdv9qm","https://www.dealnews.com/lw/click.html?20,2,2168498","20,000 bonus points offer",,2017-12-29T15:40:39-05:00,,
