price,picture_url,url,uuid,shipping,time_published,editors_choice,time_modified,category,description,hotness,title
$122,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/qyiwomhxuhz12zenkkv9",https://www.dealnews.com/Modway-Edge-Ergonomic-Mesh-Back-Office-Chair-for-122-free-shipping/2173340.html,2173340,free shipping,2018-01-06T16:59:35-05:00,,,OFFICE CHAIRS,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173340"">Modway Edge Ergonomic Mesh Back Vinyl Office Chair With Flip-Up Arms</a> in Black for <b>$122.39</b> with <b>free shipping</b>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099135,2173340"">Home Depot</a> charges the same.) That's the lowest price we could find by $22. It features adjustable height, tilt, and tension.",3,Modway Edge Ergonomic Mesh Back Office Chair
$246,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/oy5sqowyyvsrrz2tyqys",https://www.dealnews.com/Monarch-Bonded-Leather-Swivel-Glider-Recliner-for-246-free-shipping/2173337.html,2173337,free shipping,2018-01-06T16:46:29-05:00,,,CHAIRS,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173337"">Monarch Specialties Bonded Leather Swivel Glider Recliner</a> in Charcoal Grey for <b>$246.45</b> with <b>free shipping</b>. That's the lowest price we could find by $38. It reclines to about 30° and features a retractable footrest.",4,Monarch Bonded Leather Swivel Glider Recliner
Up to 15% off,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/hlkyo6yhotgpbsylh7d6",https://www.dealnews.com/Filtrete-Air-Filters-at-Amazon-Up-to-15-off-free-shipping/2173334.html,2173334,free shipping,,,2018-01-06T16:41:36-05:00,HOME & GARDEN,"Amazon cuts <strong>up to 15% off</strong> a selection of <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173334"">Filtrete air filters</a>. (Prices are as marked, and although the discount is advertised as up to 15% off, we found even bigger cuts.) Plus, all qualify for <strong>free shipping</strong>.",5,Filtrete Air Filters at Amazon
$270,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ki8prkclvlvt8qzyeuid",https://www.dealnews.com/RCA-43-4-K-LED-LCD-UHD-TV-for-270-free-shipping/2173328.html,2173328,free shipping,2018-01-06T16:14:52-05:00,,,TVS,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173328"">RCA 43"" 4K LED-Backlit LCD Ultra HD TV</a>, model no. RTU4300, for <strong>$269.99</strong> with <strong>free shipping</strong>. That's tied with our November mention and the lowest price we could find by $38. It features a 3840x2160 (2160p) native resolution, LED backlight, and four HDMI inputs.",2,"RCA 43"" 4K LED LCD UHD TV"
$88,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/yoim26ddwmp4xukmfg72",https://www.dealnews.com/Razor-Power-Core-90-Electric-Scooter-for-88-free-shipping/2173331.html,2173331,free shipping,2018-01-06T16:14:30-05:00,,,TOYS & HOBBIES,"Walmart offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173331"">Razor Power Core 90 Electric Scooter</a> in Green or Pink for <strong>$88</strong> with <strong>free shipping</strong>. (<a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099129,2173331"">Amazon</a> offers it for the same price.) That's tied with our November mention and the lowest price we could find by $12. It features a top speed of 10mph, hand-operated front brake, retractable kick stand, and ride time of up to 70 minutes.",3,Razor Power Core 90 Electric Scooter
$40,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/nmiltmpiko1evktudv24",https://www.dealnews.com/American-Rag-Womens-Faux-Fur-Hooded-Parka-for-40-free-s-h-w-beauty-item/2173325.html,2173325,free s&h w/beauty item,2018-01-06T15:46:19-05:00,,,COATS,"Macy's offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173325"">American Rag Women's Faux-Fur Hooded Parka</a> in several colors (Olive/White Combo pictured) for <strong>$39.99</strong>. Pad your order with a <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099126,2173325"">beauty item</a> (they start at $3) to bag <strong>free shipping</strong>; otherwise, shipping adds $10.95. That's $57 off and the lowest price we could find. It's available in select sizes from XXS to XL. Deal ends January 7.",4,American Rag Women's Faux-Fur Hooded Parka
$42,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/pzrfaozavttfxebkdrwr",https://www.dealnews.com/Rockport-Mens-Active-Flex-Leather-Boots-for-42-free-shipping/2173313.html,2173313,free shipping,2018-01-06T15:44:55-05:00,,,SHOES,"Ending today, Rockport offers its <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173313"">Rockport Men's ActiveFlex RocSports Lite Leather Boots</a> in Grey for $69.99. Coupon code ""BOOT40"" cuts that price to <strong>$41.99</strong>. With <strong>free shipping</strong>, that's $28 off and the lowest price we could find. It's available in medium and wide widths in select sizes from 7 to 14.",5,Rockport Men's ActiveFlex Leather Boots
$36,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/gftvrbccuopygbavaskd",https://www.dealnews.com/Bell-Automotive-Roadside-Emergency-Kit-for-36-free-shipping/2173319.html,2173319,free shipping,2018-01-06T15:42:43-05:00,,,AUTOMOTIVE,"Pep Boys via eBay offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173319"">Bell Automotive Products Premium Roadside Emergency Kit</a> for <b>$35.99</b> with <b>free shipping</b>. That's $9 under the lowest price we could find for a similar set elsewhere. The kit includes an 8-foot booster cable, tire sealant, LED flashlight, three AAA batteries, glow sticks, multi-tool, slip joint pliers, 2-in-1 screwdriver, 24"" elastic tie down, cable ties, electrical tape, duct tape, shop towel, nitrile gloves, jersey gloves, safety vest, rain poncho, fleece blanket, space blanket, first aid kit, and a help sign.",4,Bell Automotive Roadside Emergency Kit
$20,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/e6rkfcx7ntkd5lim4vij",https://www.dealnews.com/Nike-Mens-Therma-Fit-KO-Crew-Shirt-for-20-free-shipping/2173316.html,2173316,free shipping,2018-01-06T15:39:33-05:00,,,SWEATSHIRTS & HOODIES,"Proozy offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173316"">Nike Men's Therma Fit KO Crew Shirt</a> in several colors (Black pictured) for <strong>$19.99</strong> with <strong>free shipping</strong>. That's $35 off and the lowest price we could find. It's available in sizes XS to 3XL.",5,Nike Men's Therma Fit KO Crew Shirt
Earn a $150 bonus,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/ydfbhq1eoc6ncmebhug2","https://www.dealnews.com/lw/click.html?20,2,2173271",2173271,,2018-01-06T12:54:19-05:00,,,CREDIT CARDS,"Sign up for the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173271"">Chase Freedom Unlimited® Card</a> and <strong>earn a $150 Bonus</strong> after you spend $500 on purchases in your first three months from account opening. Plus, receive a <strong>0% Intro APR</strong> for 15 months on purchases and balance transfers. (After that, variable APR, currently 15.99% - 24.74%.) Other card features include earning <strong>unlimited 1.5% cash back</strong> on every purchase. It's automatic! Redeem for cash back - any amount, anytime and your Cash Back rewards do not expire as long as your account is open. Plus, there's <strong>no annual fee</strong>. For more terms and conditions, <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,17099087,2173271"">click here</a>.<br>
<br>
This card — and several more — can be found on our <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""http://dealnews.com/credit-cards/s1642/Chase/"">Chase Credit Card page</a>.        <div class=""article-disclaimer"">
            <p class=""article-disclaimer-text"">
                <a href=""#"" class=""article-disclaimer-link info"" data-panel=""article_disclaimer-dialog"" data-dialog_text=""DealNews has financial relationships with the credit card issuers mentioned on our site, and DealNews receives compensation if consumers choose to apply for these by clicking links in our content and ultimately sign up for these specific cards. This compensation has no impact or influence on where or how the cards appears on dealnews.com. DealNews does not include all card companies or all card offers available in the marketplace.&lt;br&gt;&lt;br&gt;
&lt;bold&gt;UGC Disclosure&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
These responses are not provided or commissioned by the bank advertiser. Responses have not been reviewed, approved or otherwise endorsed by the bank advertiser. It is not the bank advertiser's responsibility to ensure all posts and/or questions are answered.
&lt;bold&gt;Bank Disclaimer&lt;/bold&gt;&lt;br&gt;
&lt;br&gt;
This content is not provided or commissioned by the Bank Advertiser. Opinions expressed here are author's alone, not those of the Bank Advertiser, and have not been reviewed, approved or otherwise endorsed by the Bank Advertiser. This site may be compensated through the Bank Advertiser Affiliate Program."" data-dialog_title=""Advertiser Disclosure"">Advertiser Disclosure</a>
            </p>
        </div>
                    <script type=""text/javascript"">
                (function() {

                    var func = function () {

                                                /* Once is enough */
                        if (DN.isset(DN.get(""article_disclaimer-dialog""))) {
                            return;
                        }
                        
                                                    var parent = document.body;
                                                var div = document.createElement('div');
                        div.innerHTML = ""        <div class=\""dn-dialog form-box dn-panel info-dialog\"" id=\""article_disclaimer-dialog\"" >\n                            <div class=\""close icon box-close-white\""><\/div>\n            \n                            <div class=\""dialog-pointer\""><\/div>\n            \n                            <div class=\""hd\"">Disclaimer<\/div>\n            \n            <div class=\""bd\"">\n                        <div id=\""article-disclaimer\""><\/div>\n                    <\/div>\n\n                    <\/div>\n\n        "";
                        while (div.children.length > 0) {
                            parent.appendChild(div.children[0]);
                        }

                        
                            DN.forms.init();

                        
                                            };

                    if (DN.DOMReady) {
                        func();
                    } else {
                        DN.onDOMReady.bind(func);
                    }

                })();
            </script>",,Chase Freedom Unlimited® Card
$99,"https://cdlnws.a.ssl.fastly.net/image/upload/c_limit,dpr_auto,f_auto,q_auto,w_auto/content/o80bnlnxhwobo7shgtxb",https://www.dealnews.com/Bosch-12-V-2-Speed-Drill-Driver-Kit-for-99-free-shipping/2173322.html,2173322,free shipping,2018-01-06T15:37:17-05:00,,,POWER TOOLS,"Amazon offers the <a target=""_blank"" data-iref=""fp-content-wide-body"" href=""https://www.dealnews.com/lw/click.html?20,2,2173322"">Bosch 12-volt 2-Speed Drill/Driver Kit</a> for <strong>$99</strong> with <strong>free shipping</strong>. That's the lowest price we could find by $28. It includes two batteries, charger, and carrying case.",3,Bosch 12V 2-Speed Drill/Driver Kit
